name,documentation,examples,notes
assign_treatment,Yes,Yes,
assign_treatment_indicator,Yes,Yes,
beta_reparam,,,
bootstrap_data,,,
calculate_ICC,,,
compare_designs,,,
compare_inputs,,,
declare_assignment,,,
declare_attrition,,,
declare_design,,,
declare_estimand,,,
declare_estimator,,,
declare_inputs,,,
declare_interference,,,
declare_noncompliance,,,
declare_population,,,
declare_potential_outcomes,,,
declare_sampling,,,
declare_variable,,,
default_attrition_function,,,
default_exposure_function,,,
default_noncompliance_function,,,
default_potential_outcomes_function,,,
diagnose_design,,,
difference_in_means,,,
difference_in_means_blocked,,,
draw_blocks,,,
draw_clusters,,,
draw_data,,,
draw_observed_outcome,,,
draw_outcome,,,
draw_outcome_vector,,,
draw_population,,,
draw_potential_outcome_vector,,,
draw_potential_outcomes,,,
draw_sample,,,
draw_sample_indicator,,,
fit_model,,,
get_assignment_probabilities,Yes,Yes,
get_estimands,,,
get_estimates,,,
get_observed_assignment_probabilities,Yes,Yes,
get_regression_coefficient,,,
get_sampling_probabilities,,,
get_variable,,,
get_variable_types,,,
implement_design,,,
list.diagnosis,,,
make_population_function,,,
modify_design,,,
print_versions,,,
proportion_potential_outcomes_function,,,
remaindr,,,
save_design_replication_files,,,
summary_code,,,
